0, 0.0000, 1.0000, 0.0000
89, 0.9998, 0.0175, 57.2900
90, 1.0000, -0.0000, -22877334.0000
179, 0.0175, -0.9998, -0.0175
180, -0.0000, -1.0000, 0.0000
269, -0.9998, -0.0175, 57.2903
270, -1.0000, 0.0000, -83858280.0000
359, -0.0175, 0.9998, -0.0175
0, 0.0000, 1.0000, 0.0000
89, 0.9998, 0.0175, 57.2900
90, 1.0000, -0.0000, -22877334.0000
179, 0.0175, -0.9998, -0.0175
180, -0.0000, -1.0000, 0.0000
269, -0.9998, -0.0175, 57.2903
270, -1.0000, 0.0000, -83858280.0000
359, -0.0175, 0.9998, -0.0175
0, 0.0000, 1.0000, 0.0000
89, 0.9998, 0.0175, 57.2900
90, 1.0000, -0.0000, -22877334.0000
179, 0.0175, -0.9998, -0.0175
180, -0.0000, -1.0000, 0.0000
269, -0.9998, -0.0175, 57.2903
270, -1.0000, 0.0000, -83858280.0000
359, -0.0175, 0.9998, -0.0175
0, 0.0000, 1.0000, 0.0000
89, 0.9998, 0.0175, 57.2900
90, 1.0000, -0.0000, -22877334.0000
179, 0.0175, -0.9998, -0.0175
180, -0.0000, -1.0000, 0.0000
269, -0.9998, -0.0175, 57.2903
270, -1.0000, 0.0000, -83858280.0000
359, -0.0175, 0.9998, -0.0175
0, 0.0000, 1.0000, 0.0000
89, 0.9998, 0.0175, 57.2900
90, 1.0000, -0.0000, -22877334.0000
179, 0.0175, -0.9998, -0.0175
180, -0.0000, -1.0000, 0.0000
269, -0.9998, -0.0175, 57.2903
270, -1.0000, 0.0000, -83858280.0000
359, -0.0175, 0.9998, -0.0175
